fullName,batting_position,runs,balls,fours,sixes,strike_rate,50_runs,100_runs,30_runs,Duck,overs,dots,maidens,conceded,foursConceded,sixesConceded,wickets,economyRate,wides,noballs,LBW,Hitwicket,CaughtBowled,Bowled,3_wickets,4_wickets,5_wickets,ecoPoints,catching_FP,stumping_FP,direct_runout_FP,indirect_runout_FP,Starting_11,Captain,Vice Captain,Total_FP
Manhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0
Moises Henriques,7.0,2.0,8.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,35.0,5.0,0.0,1.0,8.75,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,39.0
Morne van Wyk,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
Murali Kartik,9.0,11.0,10.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,20.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0
Pradeep Sangwan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,32.0,4.0,1.0,1.0,10.66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0
Rajat Bhatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0
Sourav Ganguly,2.0,44.0,45.0,1.0,2.0,97.77,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0
Sourav Sarkar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,19.0,4.0,0.0,0.0,16.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
Tillakaratne Dilshan,4.0,1.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,18.0,1.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0
Wriddhiman Saha,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
